,country,acceso_elec
0,Afghanistan,97.7
1,Albania,100.0
2,Algeria,99.652065
3,Andorra,100.0
4,Angola,46.266705
5,Antigua and Barbuda,100.0
6,Argentina,100.0
7,Armenia,100.0
8,Aruba,100.0
9,Australia,100.0
10,Austria,100.0
11,Azerbaijan,100.0
12,Bahamas,100.0
13,Bahrain,100.0
14,Bangladesh,94.2
15,Barbados,100.0
16,Belarus,100.0
17,Belgium,100.0
18,Belize,94.9166675
19,Benin,40.8698235
20,Bermuda,100.0
21,Bhutan,100.0
22,Bolivia,96.31706
23,Bosnia and Herzegovina,100.0
24,Botswana,70.97725
25,Brazil,99.9
26,British Virgin Islands,100.0
27,Brunei,100.0
28,Bulgaria,99.85
29,Burkina Faso,18.666047499999998
30,Burundi,11.546042
31,Cambodia,85.2
32,Cameroon,64.105625
33,Canada,100.0
34,Cape Verde,92.78087
35,Cayman Islands,100.0
36,Central African Republic,14.882542
37,Chad,9.7400585
38,Channel Islands,100.0
39,Chile,100.0
40,China,100.0
41,Colombia,99.87796
42,Comoros,85.5174575
43,Congo,48.9622875
44,Costa Rica,99.805
45,Cote d'Ivoire,69.06934
46,Croatia,100.0
47,Cuba,99.9
48,Curacao,100.0
49,Cyprus,100.0
50,Czechia,100.0
51,Democratic Republic of Congo,19.1
52,Denmark,100.0
53,Djibouti,61.489506000000006
54,Dominica,100.0
55,Dominican Republic,99.5
56,East Timor,93.460982
57,Ecuador,98.97
58,Egypt,100.0
59,El Salvador,98.68
60,Equatorial Guinea,66.67388700000001
61,Eritrea,51.554045
62,Estonia,100.0
63,Eswatini,78.29997
64,Ethiopia,49.5787865
65,Fiji,99.85794
66,Finland,100.0
67,France,100.0
68,French Polynesia,100.0
69,Gabon,91.1489275
70,Gambia,62.186533499999996
71,Georgia,100.0
72,Germany,100.0
73,Ghana,84.686775
74,Gibraltar,100.0
75,Greece,100.0
76,Greenland,100.0
77,Grenada,93.353707
78,Guam,100.0
79,Guatemala,96.398637
80,Guinea,43.434340000000006
81,Guinea-Bissau,32.1485135
82,Guyana,92.22815
83,Haiti,46.4578835
84,Honduras,92.153355
85,Hong Kong,100.0
86,Hungary,100.0
87,Iceland,100.0
88,India,98.154133
89,Indonesia,97.9
90,Iran,100.0
91,Iraq,99.996002
92,Ireland,100.0
93,Isle of Man,100.0
94,Israel,100.0
95,Italy,100.0
96,Jamaica,99.68381
97,Japan,100.0
98,Jordan,99.95
99,Kazakhstan,100.0
100,Kenya,70.56897000000001
101,Kiribati,90.99794
102,Kosovo,100.0
103,Kuwait,100.0
104,Kyrgyzstan,99.927645
105,Laos,99.54604499999999
106,Latvia,100.0
107,Lebanon,99.987435
108,Lesotho,45.9264735
109,Liberia,25.317355
110,Libya,69.174875
111,Liechtenstein,100.0
112,Lithuania,100.0
113,Luxembourg,100.0
114,Macao,100.0
115,Madagascar,32.3875385
116,Malawi,13.0333845
117,Malaysia,100.0
118,Maldives,100.0
119,Mali,49.198847
120,Malta,100.0
121,Marshall Islands,98.349405
122,Mauritania,46.589226
123,Mauritius,99.830825
124,Mexico,99.5
125,Micronesia (country),82.101325
126,Moldova,100.0
127,Monaco,100.0
128,Mongolia,97.66495499999999
129,Montenegro,100.0
130,Morocco,99.8
131,Mozambique,30.139141000000002
132,Myanmar,69.377862
133,Namibia,55.717892
134,Nauru,100.0
135,Nepal,89.9
136,Netherlands,100.0
137,New Caledonia,100.0
138,New Zealand,100.0
139,Nicaragua,88.482855
140,Niger,19.1132405
141,Nigeria,55.4
142,North Korea,51.1427725
143,North Macedonia,100.0
144,Northern Mariana Islands,100.0
145,Norway,100.0
146,Oman,100.0
147,Pakistan,74.75369
148,Palau,100.0
149,Palestine,100.0
150,Panama,96.260483
151,Paraguay,99.85
152,Peru,97.431585
153,Philippines,96.243732
154,Poland,100.0
155,Portugal,100.0
156,Puerto Rico,100.0
157,Qatar,100.0
158,Romania,100.0
159,Russia,100.0
160,Rwanda,43.484303499999996
161,Saint Kitts and Nevis,100.0
162,Saint Lucia,99.75109
163,Saint Martin (French part),100.0
164,Saint Vincent and the Grenadines,100.0
165,Samoa,99.6
166,San Marino,100.0
167,Sao Tome and Principe,75.76314500000001
168,Saudi Arabia,100.0
169,Senegal,70.38447
170,Serbia,99.9
171,Seychelles,100.0
172,Sierra Leone,24.450443
173,Singapore,100.0
174,Sint Maarten (Dutch part),100.0
175,Slovakia,100.0
176,Slovenia,100.0
177,Solomon Islands,71.57795
178,Somalia,49.465435
179,South Africa,84.69277
180,South Korea,100.0
181,South Sudan,6.97417265
182,Spain,100.0
183,Sri Lanka,99.87928500000001
184,Sudan,54.67612
185,Suriname,98.015095
186,Sweden,100.0
187,Switzerland,100.0
188,Syria,89.20476500000001
189,Tajikistan,99.706255
190,Tanzania,38.7798435
191,Thailand,99.95
192,Togo,53.1802715
193,Tonga,99.2
194,Trinidad and Tobago,100.0
195,Tunisia,100.0
196,Turkey,100.0
197,Turkmenistan,99.95
198,Turks and Caicos Islands,99.7
199,Tuvalu,99.694615
200,Uganda,41.6872085
201,Ukraine,100.0
202,United Arab Emirates,100.0
203,United Kingdom,100.0
204,United States,100.0
205,United States Virgin Islands,100.0
206,Uruguay,99.95
207,Uzbekistan,100.0
208,Vanuatu,65.96173
209,Venezuela,99.988407
210,Vietnam,99.7
211,Yemen,73.254503
212,Zambia,43.7622375
213,Zimbabwe,49.7645725
